company_id,trade_date,open_price,high_price,low_price,close_price,volume,adjusted_close
1,2024-06-04,164.9565,165.5286,161.341,162.0923,6591233,162.0923
1,2024-06-05,163.3072,163.8293,155.5454,157.0015,24730328,157.0015
1,2024-06-06,157.0904,157.708,156.1626,156.6846,3735961,156.6846
1,2024-06-07,157.2528,161.9301,156.8798,161.8424,10568594,161.8424
1,2024-06-10,162.3816,165.5402,162.3752,165.4085,10561913,165.4085
1,2024-06-11,165.2314,166.0272,161.8751,162.5296,2659235,162.5296
1,2024-06-12,162.2569,163.7266,161.0399,163.0819,10164991,163.0819
1,2024-06-13,163.0319,163.1135,153.61,155.6217,3422520,155.6217
1,2024-06-14,156.357,156.481,153.9404,154.2016,19033447,154.2016
1,2024-06-17,154.5565,154.9504,152.1209,152.816,4354880,152.816
1,2024-06-18,152.7855,153.3818,149.2693,149.6685,13155484,149.6685
1,2024-06-19,150.8597,151.2887,150.3522,150.7827,2101466,150.7827
1,2024-06-20,149.8774,151.94,148.3608,151.1808,3235980,151.1808
1,2024-06-21,151.4843,152.6186,147.3451,148.1059,4794550,148.1059
1,2024-06-24,148.4196,151.0648,146.6489,147.1198,3956873,147.1198
1,2024-06-25,146.5696,147.9586,146.494,147.7969,10690634,147.7969
1,2024-06-26,147.6179,149.4232,146.188,148.1242,2608838,148.1242
1,2024-06-27,147.89,147.912,143.4249,145.1914,7251702,145.1914
1,2024-06-28,144.7218,145.0718,143.18,143.9492,4891296,143.9492
1,2024-07-01,144.8906,145.9699,143.1143,143.5382,4850556,143.5382
1,2024-07-02,143.1098,143.326,140.354,140.5384,3727407,140.5384
1,2024-07-03,141.1059,141.8139,138.4249,138.9806,4368310,138.9806
1,2024-07-04,139.5754,139.7884,138.6171,138.7051,5325984,138.7051
1,2024-07-05,138.4743,140.8261,137.9031,140.0283,6540739,140.0283
1,2024-07-08,140.5825,141.0354,137.5337,138.6135,4740042,138.6135
1,2024-07-09,139.0625,139.3461,135.4023,135.8227,2905052,135.8227
1,2024-07-10,134.9734,135.3641,134.9024,135.3482,6582329,135.3482
1,2024-07-11,133.8082,135.4162,133.4066,135.2214,8063726,135.2214
1,2024-07-12,134.1713,140.4073,133.8397,140.3319,7122755,140.3319
1,2024-07-15,139.2061,140.8898,137.2108,140.757,8977428,140.757
1,2024-07-16,140.3108,144.6003,138.7202,144.5706,6344096,144.5706
1,2024-07-17,143.8995,146.7887,142.4707,145.8555,4795037,145.8555
1,2024-07-18,145.4726,147.1151,141.2538,142.5193,3470403,142.5193
1,2024-07-19,141.3823,146.8493,141.3345,146.3843,12889179,146.3843
1,2024-07-22,147.1505,147.7624,143.194,144.4658,11984236,144.4658
1,2024-07-23,143.7692,150.7485,142.9542,150.6335,8104896,150.6335
1,2024-07-24,150.474,155.4101,149.4139,154.0122,9337012,154.0122
1,2024-07-25,153.8112,154.181,151.0883,152.7554,4707923,152.7554
1,2024-07-26,152.6078,153.9061,151.4081,151.8455,17715998,151.8455
